
Size,Series,Class,Allowance,ExtMajMax,ExtMajMin,ExtPitchMax,ExtPitchMin,ExtUNRMax,IntMinorMin,IntMinorMax,IntPitchMin,IntPitchMax,IntMajorMin
5/8–28,UN,2,0.0011,0.6239,0.6174,0.6007,0.5969,0.5813,0.586,0.595,0.6018,0.6067,0.6250
5/8–28,UN,3,0.0000,0.6250,0.6185,0.6018,0.5990,0.5824,0.5860,0.5926,0.6018,0.6055,0.6250
5/8–32,UN,2,0.0011,0.6239,0.6179,0.6036,0.6000,0.5867,0.591,0.599,0.6047,0.6093,0.6250
5/8–32,UN,3,0.0000,0.6250,0.6190,0.6047,0.6020,0.5878,0.5910,0.5969,0.6047,0.6082,0.6250
11/16–12,UN,2,0.0016,0.6859,0.6745,0.6318,0.6264,0.5867,0.597,0.615,0.6334,0.6405,0.6875
11/16–12,UN,3,0.0000,0.6875,0.6761,0.6334,0.6293,0.5883,0.5970,0.6085,0.6334,0.6387,0.6875
11/16–16,UN,2,0.0014,0.6861,0.6767,0.6455,0.6407,0.6116,0.620,0.634,0.6469,0.6531,0.6875
11/16–16,UN,3,0.0000,0.6875,0.6781,0.6469,0.6433,0.6130,0.6200,0.6284,0.6469,0.6515,0.6875
11/16–20,UN,2,0.0013,0.6862,0.6781,0.6537,0.6494,0.6267,0.633,0.645,0.6550,0.6606,0.6875
11/16–20,UN,3,0.0000,0.6875,0.6794,0.6550,0.6518,0.6280,0.6330,0.6412,0.6550,0.6592,0.6875
11/16–24,UNEF,2,0.0012,0.6863,0.6791,0.6592,0.6552,0.6367,0.642,0.652,0.6604,0.6656,0.6875
11/16–24,UNEF,3,0.0000,0.6875,0.6803,0.6604,0.6574,0.6379,0.6420,0.6494,0.6604,0.6643,0.6875
11/16–28,UN,2,0.0011,0.6864,0.6799,0.6632,0.6594,0.6438,0.649,0.657,0.6643,0.6692,0.6875
11/16–28,UN,3,0.0000,0.6875,0.6810,0.6643,0.6615,0.6449,0.6490,0.6551,0.6643,0.6680,0.6875
11/16–32,UN,2,0.0011,0.6864,0.6804,0.6661,0.6625,0.6492,0.654,0.661,0.6672,0.6718,0.6875
11/16–32,UN,3,0.0000,0.6875,0.6815,0.6672,0.6645,0.6503,0.6540,0.6594,0.6672,0.6707,0.6875
3/4–10,UNC,1,0.0018,0.7482,0.7288,0.6832,0.6744,0.6291,0.642,0.663,0.6850,0.6965,0.7500
3/4–10,UNC,2,0.0018,0.7482,0.7353,0.6832,0.6773,0.6291,0.642,0.663,0.6850,0.6927,0.7500
3/4–10,UNC,3,0.0000,0.7500,0.7371,0.6850,0.6806,0.6309,0.6420,0.6545,0.6850,0.6907,0.7500
3/4–12,UN,2,0.0017,0.7483,0.7369,0.6942,0.6887,0.6491,0.660,0.678,0.6959,0.7031,0.7500
3/4–12,UN,3,0.0000,0.7500,0.7386,0.6959,0.6918,0.6508,0.6600,0.6707,0.6959,0.7013,0.7500
3/4–14,UNS,2,0.0015,0.7485,0.7382,0.7021,0.6970,0.6635,0.673,0.688,0.7036,0.7103,0.7500
3/4–16,UNF,1,0.0015,0.7485,0.7343,0.7079,0.7004,0.6740,0.682,0.696,0.7094,0.7192,0.7500
3/4–16,UNF,2,0.0015,0.7485,0.7391,0.7079,0.7029,0.6740,0.682,0.696,0.7094,0.7159,0.7500
3/4–16,UNF,3,0.0000,0.7500,0.7406,0.7094,0.7056,0.6755,0.6820,0.6908,0.7094,0.7143,0.7500
3/4–18,UNS,2,0.0014,0.7486,0.7399,0.7125,0.7079,0.6825,0.690,0.703,0.7139,0.7199,0.7500
3/4–20,UNEF,2,0.0013,0.7487,0.7406,0.7162,0.7118,0.6892,0.696,0.707,0.7175,0.7232,0.7500
3/4–20,UNEF,3,0.0000,0.7500,0.7419,0.7175,0.7142,0.6905,0.6960,0.7037,0.7175,0.7218,0.7500
3/4–24,UNS,2,0.0012,0.7488,0.7416,0.7217,0.7176,0.6992,0.705,0.715,0.7229,0.7282,0.7500
3/4–27,UNS,2,0.0012,0.7488,0.7421,0.7247,0.7208,0.7047,0.710,0.719,0.7259,0.7310,0.7500
3/4–28,UN,2,0.0012,0.7488,0.7423,0.7256,0.7218,0.7062,0.711,0.720,0.7268,0.7318,0.7500
3/4–28,UN,3,0.0000,0.7500,0.7435,0.7268,0.7239,0.7074,0.7110,0.7176,0.7268,0.7305,0.7500
3/4–32,UN,2,0.0011,0.7489,0.7429,0.7286,0.7250,0.7117,0.716,0.724,0.7297,0.7344,0.7500
3/4–32,UN,3,0.0000,0.7500,0.7440,0.7297,0.7270,0.7128,0.7160,0.7219,0.7297,0.7333,0.7500
13/16–12,UN,2,0.0017,0.8108,0.7994,0.7567,0.7512,0.7116,0.722,0.740,0.7584,0.7656,0.8125
13/16–12,UN,3,0.0000,0.8125,0.8011,0.7584,0.7543,0.7133,0.7220,0.7329,0.7584,0.7638,0.8125
13/16–16,UN,2,0.0015,0.8110,0.8016,0.7704,0.7655,0.7365,0.745,0.759,0.7719,0.7782,0.8125
13/16–16,UN,3,0.0000,0.8125,0.8031,0.7719,0.7683,0.7380,0.7450,0.7533,0.7719,0.7766,0.8125
13/16–20,UNEF,2,0.0013,0.8112,0.8031,0.7787,0.7743,0.7517,0.758,0.770,0.7800,0.7857,0.8125
13/16–20,UNEF,3,0.0000,0.8125,0.8044,0.7800,0.7767,0.7530,0.7580,0.7662,0.7800,0.7843,0.8125
13/16–28,UN,2,0.0012,0.8113,0.8048,0.7881,0.7843,0.7687,0.774,0.782,0.7893,0.7943,0.8125
13/16–28,UN,3,0.0000,0.8125,0.8060,0.7893,0.7864,0.7699,0.7740,0.7801,0.7893,0.7930,0.8125
13/16–32,UN,2,0.0011,0.8114,0.8054,0.7911,0.7875,0.7742,0.779,0.786,0.7922,0.7969,0.8125
13/16–32,UN,3,0.0000,0.8125,0.8065,0.7922,0.7895,0.7753,0.7790,0.7844,0.7922,0.7958,0.8125
7/8–9,UNC,1,0.0019,0.8731,0.8523,0.8009,0.7914,0.7408,0.755,0.778,0.8028,0.8151,0.8750
